iter	Passed	Remaining
287	1219	3015
288	1223	3010
289	1227	3005
290	1234	3007
291	1239	3005
292	1244	3003
293	1250	3002
294	1255	3000
295	1261	3000
296	1265	2996
297	1270	2993
298	1274	2988
299	1278	2983
300	1282	2978
301	1287	2974
302	1291	2971
303	1295	2966
304	1299	2961
305	1304	2957
306	1308	2952
307	1312	2947
308	1316	2943
309	1320	2938
310	1324	2933
311	1328	2929
312	1332	2924
313	1336	2919
314	1340	2914
315	1344	2910
316	1348	2904
317	1351	2899
318	1355	2893
319	1358	2887
320	1362	2882
321	1366	2877
322	1369	2871
323	1373	2865
324	1377	2860
325	1380	2854
326	1384	2849
327	1388	2844
328	1391	2838
329	1395	2832
330	1398	2827
331	1402	2821
332	1406	2816
333	1409	2811
334	1413	2806
335	1417	2800
336	1421	2796
337	1425	2791
338	1428	2785
339	1432	2780
340	1436	2775
341	1440	2770
342	1444	2765
343	1448	2761
344	1451	2756
345	1455	2751
346	1459	2746
347	1463	2741
348	1466	2735
349	1470	2730
350	1473	2725
351	1477	2720
352	1481	2716
353	1486	2713
354	1490	2708
355	1494	2703
356	1497	2697
357	1501	2692
358	1504	2686
359	1508	2681
360	1512	2676
361	1515	2671
362	1519	2666
363	1523	2661
364	1526	2655
365	1530	2650
366	1533	2645
367	1537	2639
368	1540	2635
369	1545	2630
370	1548	2625
371	1551	2619
372	1555	2615
373	1559	2610
374	1563	2605
375	1566	2600
376	1570	2595
377	1574	2590
378	1578	2586
379	1582	2581
380	1585	2576
381	1589	2572
382	1593	2567
383	1598	2563
384	1601	2558
385	1606	2554
386	1610	2550
387	1613	2545
388	1617	2541
389	1622	2538
390	1627	2534
391	1631	2529
392	1635	2526
393	1640	2522
394	1644	2518
395	1648	2515
396	1653	2511
397	1657	2507
398	1661	2502
399	1665	2498
400	1669	2494
401	1673	2489
402	1676	2484
403	1680	2479
404	1684	2474
405	1688	2469
406	1691	2464
407	1695	2459
408	1699	2455
409	1703	2450
410	1706	2445
411	1710	2440
412	1713	2435
413	1717	2431
414	1721	2427
415	1725	2422
416	1729	2418
417	1733	2413
418	1737	2408
419	1740	2404
420	1744	2399
421	1748	2394
422	1752	2390
423	1756	2385
424	1760	2381
425	1764	2377
426	1768	2372
427	1772	2368
428	1776	2364
