valid_time,latitude,longitude,mean_t2m
30-05-24,18.8,72.8,303.46695
31-05-24,19.05,72.8,303.44528
31-05-24,18.8,72.8,303.15518
01-06-24,19.05,72.8,303.3207
01-06-24,18.8,72.8,302.9686
02-06-24,19.05,72.8,303.66592
02-06-24,18.8,72.8,303.34943
03-06-24,19.05,72.8,303.49564
03-06-24,18.8,72.8,303.19693
04-06-24,19.05,72.8,303.26627
04-06-24,18.8,72.8,302.88882
05-06-24,19.05,72.8,303.00186
05-06-24,18.8,72.8,302.67114
06-06-24,19.05,72.8,303.0065
06-06-24,18.8,72.8,302.6305
07-06-24,19.05,72.8,303.7073
07-06-24,18.8,72.8,303.41068
08-06-24,19.05,72.8,303.62045
08-06-24,18.8,72.8,303.3268
09-06-24,19.05,72.8,302.9352
09-06-24,18.8,72.8,302.33118
10-06-24,19.05,72.8,301.5574
10-06-24,18.8,72.8,301.35617
11-06-24,19.05,72.8,301.35226
11-06-24,18.8,72.8,300.89554
12-06-24,19.05,72.8,301.52658
12-06-24,18.8,72.8,301.20306
13-06-24,19.05,72.8,301.37607
13-06-24,18.8,72.8,301.03546
14-06-24,19.05,72.8,301.26807
14-06-24,18.8,72.8,301.02036
15-06-24,19.05,72.8,301.27945
15-06-24,18.8,72.8,300.94992
16-06-24,19.05,72.8,301.98334
16-06-24,18.8,72.8,301.68115
17-06-24,19.05,72.8,301.8199
17-06-24,18.8,72.8,301.56015
18-06-24,19.05,72.8,301.45932
18-06-24,18.8,72.8,301.18735
19-06-24,19.05,72.8,301.01035
19-06-24,18.8,72.8,300.83014
20-06-24,19.05,72.8,301.3829
20-06-24,18.8,72.8,301.1948
21-06-24,19.05,72.8,301.71146
21-06-24,18.8,72.8,301.38467
22-06-24,19.05,72.8,301.53754
22-06-24,18.8,72.8,301.32364
23-06-24,19.05,72.8,301.27908
23-06-24,18.8,72.8,301.04102
24-06-24,19.05,72.8,301.16028
24-06-24,18.8,72.8,300.94376
25-06-24,19.05,72.8,301.9421
