valid_time,latitude,longitude,max_tp
26-05-24,18.8,72.8,0.00010796
27-05-24,19.05,72.8,8.75E-05
27-05-24,18.8,72.8,0.000104527
28-05-24,19.05,72.8,0.000126833
28-05-24,18.8,72.8,0.000144575
29-05-24,19.05,72.8,4.41E-05
29-05-24,18.8,72.8,2.97E-05
30-05-24,19.05,72.8,0.000106235
30-05-24,18.8,72.8,0.000119784
31-05-24,19.05,72.8,0.000231942
31-05-24,18.8,72.8,0.000266476
01-06-24,19.05,72.8,8.91E-05
01-06-24,18.8,72.8,0.000114834
02-06-24,19.05,72.8,9.81E-05
02-06-24,18.8,72.8,9.25E-05
03-06-24,19.05,72.8,0.000209424
03-06-24,18.8,72.8,0.000203899
04-06-24,19.05,72.8,0.000518977
04-06-24,18.8,72.8,0.000802492
05-06-24,19.05,72.8,0.000319632
05-06-24,18.8,72.8,0.000434637
06-06-24,19.05,72.8,0.000269128
06-06-24,18.8,72.8,0.000503869
07-06-24,19.05,72.8,0.000116694
07-06-24,18.8,72.8,0.000545751
08-06-24,19.05,72.8,0.000108903
08-06-24,18.8,72.8,0.000363245
09-06-24,19.05,72.8,0.001268799
09-06-24,18.8,72.8,0.001666108
10-06-24,19.05,72.8,0.00392551
10-06-24,18.8,72.8,0.004629724
11-06-24,19.05,72.8,0.000952081
11-06-24,18.8,72.8,0.001794444
12-06-24,19.05,72.8,0.002106494
12-06-24,18.8,72.8,0.002279267
13-06-24,19.05,72.8,0.002937985
13-06-24,18.8,72.8,0.002381025
14-06-24,19.05,72.8,0.000664732
14-06-24,18.8,72.8,0.000642981
15-06-24,19.05,72.8,0.000657024
15-06-24,18.8,72.8,0.000685329
16-06-24,19.05,72.8,0.000366144
16-06-24,18.8,72.8,0.000466302
17-06-24,19.05,72.8,0.001027293
17-06-24,18.8,72.8,0.001213941
18-06-24,19.05,72.8,0.001647814
18-06-24,18.8,72.8,0.00120306
19-06-24,19.05,72.8,0.002812375
19-06-24,18.8,72.8,0.002601533
20-06-24,19.05,72.8,0.003165718
20-06-24,18.8,72.8,0.002970002
21-06-24,19.05,72.8,0.000666337
21-06-24,18.8,72.8,0.000696566
22-06-24,19.05,72.8,0.000473392
22-06-24,18.8,72.8,0.000706133
23-06-24,19.05,72.8,0.003373876
23-06-24,18.8,72.8,0.002846107
24-06-24,19.05,72.8,0.003611864
24-06-24,18.8,72.8,0.004091368
25-06-24,19.05,72.8,0.001593757
25-06-24,18.8,72.8,0.001782946
26-06-24,19.05,72.8,0.002426399
26-06-24,18.8,72.8,0.00276856
27-06-24,19.05,72.8,0.004964292
27-06-24,18.8,72.8,0.004815716
28-06-24,19.05,72.8,0.001882616
28-06-24,18.8,72.8,0.002441887
29-06-24,19.05,72.8,0.000733866
29-06-24,18.8,72.8,0.000663737
30-06-24,19.05,72.8,0.001735648
30-06-24,18.8,72.8,0.001411019
01-07-24,19.05,72.8,0.000983533
01-07-24,18.8,72.8,0.001287498
02-07-24,19.05,72.8,0.002659156
02-07-24,18.8,72.8,0.00274394
03-07-24,19.05,72.8,0.000557732
03-07-24,18.8,72.8,0.000641838
04-07-24,19.05,72.8,0.000438814
04-07-24,18.8,72.8,0.000415673
05-07-24,19.05,72.8,0.000621376
05-07-24,18.8,72.8,0.000647553
06-07-24,19.05,72.8,0.000813931
06-07-24,18.8,72.8,0.000910826
07-07-24,19.05,72.8,0.000330368
07-07-24,18.8,72.8,0.000376102
08-07-24,19.05,72.8,0.000653114
08-07-24,18.8,72.8,0.000868196
09-07-24,19.05,72.8,0.005960055
09-07-24,18.8,72.8,0.008658595
10-07-24,19.05,72.8,0.001115526
10-07-24,18.8,72.8,0.001280996
11-07-24,19.05,72.8,0.003070818
11-07-24,18.8,72.8,0.002644265
12-07-24,19.05,72.8,0.003864474
12-07-24,18.8,72.8,0.004012077
13-07-24,19.05,72.8,0.005258817
13-07-24,18.8,72.8,0.004835744
14-07-24,19.05,72.8,0.001887717
14-07-24,18.8,72.8,0.002413721
15-07-24,19.05,72.8,0.001012131
15-07-24,18.8,72.8,0.001653552
16-07-24,19.05,72.8,0.001810887
16-07-24,18.8,72.8,0.002052842
17-07-24,19.05,72.8,0.003383581
17-07-24,18.8,72.8,0.003910114
18-07-24,19.05,72.8,0.005063012
18-07-24,18.8,72.8,0.006208912
19-07-24,19.05,72.8,0.002479533
19-07-24,18.8,72.8,0.003177568
20-07-24,19.05,72.8,0.00776922
20-07-24,18.8,72.8,0.008697681
21-07-24,19.05,72.8,0.003723253
21-07-24,18.8,72.8,0.003717606
22-07-24,19.05,72.8,0.002910245
22-07-24,18.8,72.8,0.002879865
23-07-24,19.05,72.8,0.004028358
23-07-24,18.8,72.8,0.004356995
24-07-24,19.05,72.8,0.003658153
24-07-24,18.8,72.8,0.003094055
25-07-24,19.05,72.8,0.002328007
25-07-24,18.8,72.8,0.003656039
26-07-24,19.05,72.8,0.000714851
26-07-24,18.8,72.8,0.000776261
27-07-24,19.05,72.8,0.00107703
27-07-24,18.8,72.8,0.000862895
28-07-24,19.05,72.8,0.001550249
28-07-24,18.8,72.8,0.001611483
29-07-24,19.05,72.8,0.001542865
29-07-24,18.8,72.8,0.001688804
30-07-24,19.05,72.8,0.001592869
30-07-24,18.8,72.8,0.001553445
31-07-24,19.05,72.8,0.000952355
31-07-24,18.8,72.8,0.001386479
01-08-24,19.05,72.8,0.001007516
01-08-24,18.8,72.8,0.00113044
02-08-24,19.05,72.8,0.001818262
02-08-24,18.8,72.8,0.00175108
03-08-24,19.05,72.8,0.001832541
03-08-24,18.8,72.8,0.002651413
04-08-24,19.05,72.8,0.003397993
04-08-24,18.8,72.8,0.003221936
05-08-24,19.05,72.8,0.00096315
05-08-24,18.8,72.8,0.00110265
06-08-24,19.05,72.8,0.000497388
06-08-24,18.8,72.8,0.000622516
07-08-24,19.05,72.8,0.000440605
07-08-24,18.8,72.8,0.000571275
08-08-24,19.05,72.8,0.00036003
08-08-24,18.8,72.8,0.000435248
09-08-24,19.05,72.8,0.000613955
09-08-24,18.8,72.8,0.000646965
10-08-24,19.05,72.8,0.000558288
10-08-24,18.8,72.8,0.000513244
11-08-24,19.05,72.8,0.000318291
11-08-24,18.8,72.8,0.000294739
12-08-24,19.05,72.8,0.000600955
12-08-24,18.8,72.8,0.000615139
13-08-24,19.05,72.8,0.00024551
13-08-24,18.8,72.8,0.000202735
14-08-24,19.05,72.8,0.000189557
14-08-24,18.8,72.8,0.000163936
15-08-24,19.05,72.8,0.000150316
15-08-24,18.8,72.8,0.000107863
16-08-24,19.05,72.8,0.00013226
16-08-24,18.8,72.8,0.000139528
17-08-24,19.05,72.8,0.000193587
17-08-24,18.8,72.8,0.000138835
18-08-24,19.05,72.8,0.000296461
18-08-24,18.8,72.8,0.000415614
19-08-24,19.05,72.8,0.001554682
19-08-24,18.8,72.8,0.001554295
20-08-24,19.05,72.8,0.000472007
20-08-24,18.8,72.8,0.001125889
21-08-24,19.05,72.8,0.000379964
21-08-24,18.8,72.8,0.00028618
22-08-24,19.05,72.8,0.000310069
22-08-24,18.8,72.8,0.00021347
23-08-24,19.05,72.8,0.004207687
23-08-24,18.8,72.8,0.001884012
24-08-24,19.05,72.8,0.011296414
24-08-24,18.8,72.8,0.010355063
25-08-24,19.05,72.8,0.002800709
25-08-24,18.8,72.8,0.003153382
26-08-24,19.05,72.8,0.002884107
26-08-24,18.8,72.8,0.001685427
27-08-24,19.05,72.8,0.001158127
27-08-24,18.8,72.8,0.001415017
28-08-24,19.05,72.8,0.00072003
28-08-24,18.8,72.8,0.000786068
29-08-24,19.05,72.8,0.000971182
29-08-24,18.8,72.8,0.000864385
30-08-24,19.05,72.8,0.000663589
30-08-24,18.8,72.8,0.000626072
31-08-24,19.05,72.8,0.000388421
31-08-24,18.8,72.8,0.00043468
01-09-24,19.05,72.8,0.000230187
01-09-24,18.8,72.8,0.000255676
02-09-24,19.05,72.8,0.003801794
02-09-24,18.8,72.8,0.00262037
03-09-24,19.05,72.8,0.000825522
03-09-24,18.8,72.8,0.001021002
04-09-24,19.05,72.8,0.001085633
04-09-24,18.8,72.8,0.001283085
05-09-24,19.05,72.8,0.001550969
05-09-24,18.8,72.8,0.001462242
06-09-24,19.05,72.8,0.000853776
06-09-24,18.8,72.8,0.00094307
07-09-24,19.05,72.8,0.000417915
07-09-24,18.8,72.8,0.000417149
08-09-24,19.05,72.8,0.000302964
