valid_time,latitude,longitude,mean_tp
08-06-24,18.8,72.8,3.34E-05
09-06-24,19.05,72.8,0.000340393
09-06-24,18.8,72.8,0.000444766
10-06-24,19.05,72.8,0.001219701
10-06-24,18.8,72.8,0.001370559
11-06-24,19.05,72.8,0.000384121
11-06-24,18.8,72.8,0.000541101
12-06-24,19.05,72.8,0.000510048
12-06-24,18.8,72.8,0.000564684
13-06-24,19.05,72.8,0.000651844
13-06-24,18.8,72.8,0.00070311
14-06-24,19.05,72.8,0.000305144
14-06-24,18.8,72.8,0.00032229
15-06-24,19.05,72.8,0.000272032
15-06-24,18.8,72.8,0.000272109
16-06-24,19.05,72.8,0.000126907
16-06-24,18.8,72.8,0.000132371
17-06-24,19.05,72.8,0.000441622
17-06-24,18.8,72.8,0.000420922
18-06-24,19.05,72.8,0.000583805
18-06-24,18.8,72.8,0.000506275
19-06-24,19.05,72.8,0.001137058
19-06-24,18.8,72.8,0.001107498
20-06-24,19.05,72.8,0.001327472
20-06-24,18.8,72.8,0.001353113
21-06-24,19.05,72.8,0.000348955
21-06-24,18.8,72.8,0.000356181
22-06-24,19.05,72.8,0.000237144
22-06-24,18.8,72.8,0.000265979
23-06-24,19.05,72.8,0.000725035
23-06-24,18.8,72.8,0.000656455
24-06-24,19.05,72.8,0.001193882
24-06-24,18.8,72.8,0.001152563
25-06-24,19.05,72.8,0.000400807
25-06-24,18.8,72.8,0.000439593
26-06-24,19.05,72.8,0.000687073
26-06-24,18.8,72.8,0.000889434
27-06-24,19.05,72.8,0.002094475
27-06-24,18.8,72.8,0.002433161
28-06-24,19.05,72.8,0.000948282
28-06-24,18.8,72.8,0.001015211
29-06-24,19.05,72.8,0.000394383
29-06-24,18.8,72.8,0.000409394
30-06-24,19.05,72.8,0.000622402
30-06-24,18.8,72.8,0.000582286
01-07-24,19.05,72.8,0.000462524
01-07-24,18.8,72.8,0.000513952
02-07-24,19.05,72.8,0.000571757
02-07-24,18.8,72.8,0.000740292
03-07-24,19.05,72.8,0.000310796
03-07-24,18.8,72.8,0.000341003
04-07-24,19.05,72.8,0.000300174
04-07-24,18.8,72.8,0.000324238
05-07-24,19.05,72.8,0.000355404
05-07-24,18.8,72.8,0.000382926
06-07-24,19.05,72.8,0.000372901
06-07-24,18.8,72.8,0.000408219
07-07-24,19.05,72.8,0.000237195
07-07-24,18.8,72.8,0.000275021
08-07-24,19.05,72.8,0.000363089
