valid_time,latitude,longitude,msl,number
2022-04-21,19.05,72.8,100626.71,0
2022-04-21,18.8,72.8,100626.945,0
2022-04-22,19.05,72.8,100696.62,0
2022-04-22,18.8,72.8,100708.695,0
2022-04-23,19.05,72.8,100795.65,0
2022-04-23,18.8,72.8,100808.375,0
2022-04-24,19.05,72.8,100844.48,0
2022-04-24,18.8,72.8,100850.79,0
2022-04-25,19.05,72.8,100675.27,0
2022-04-25,18.8,72.8,100682.13,0
2022-04-26,19.05,72.8,100769.055,0
2022-04-26,18.8,72.8,100778.34,0
2022-04-27,19.05,72.8,100632.12,0
2022-04-27,18.8,72.8,100638.46,0
2022-04-28,19.05,72.8,100681.56,0
2022-04-28,18.8,72.8,100696.945,0
2022-04-29,19.05,72.8,100883.51,0
2022-04-29,18.8,72.8,100891.68,0
2022-04-30,19.05,72.8,100721.66,0
2022-04-30,18.8,72.8,100734.625,0
2022-05-01,19.05,72.8,100625.82,0
2022-05-01,18.8,72.8,100638.1,0
2022-05-02,19.05,72.8,100640.9,0
2022-05-02,18.8,72.8,100653.97,0
2022-05-03,19.05,72.8,100719.125,0
2022-05-03,18.8,72.8,100728.06,0
2022-05-04,19.05,72.8,100818.02,0
2022-05-04,18.8,72.8,100823.88,0
2022-05-05,19.05,72.8,100812.98,0
2022-05-05,18.8,72.8,100818.18,0
2022-05-06,19.05,72.8,100748.41,0
2022-05-06,18.8,72.8,100754.93,0
2022-05-07,19.05,72.8,100694.31,0
2022-05-07,18.8,72.8,100706.63,0
2022-05-08,19.05,72.8,100496.16,0
2022-05-08,18.8,72.8,100507.586,0
2022-05-09,19.05,72.8,100401.47,0
2022-05-09,18.8,72.8,100416.055,0
2022-05-10,19.05,72.8,100399.125,0
2022-05-10,18.8,72.8,100411.88,0
2022-05-11,19.05,72.8,100372.98,0
2022-05-11,18.8,72.8,100388.6,0
2022-05-12,19.05,72.8,100469.305,0
2022-05-12,18.8,72.8,100485.63,0
2022-05-13,19.05,72.8,100447.57,0
2022-05-13,18.8,72.8,100462.26,0
2022-05-14,19.05,72.8,100486.6,0
2022-05-14,18.8,72.8,100501.23,0
2022-05-15,19.05,72.8,100604.805,0
2022-05-15,18.8,72.8,100617.086,0
2022-05-16,19.05,72.8,100541.46,0
2022-05-16,18.8,72.8,100550.19,0
2022-05-17,19.05,72.8,100443.46,0
2022-05-17,18.8,72.8,100454.34,0
2022-05-18,19.05,72.8,100483.22,0
2022-05-18,18.8,72.8,100492.68,0
2022-05-19,19.05,72.8,100529.664,0
2022-05-19,18.8,72.8,100542.9,0
2022-05-20,19.05,72.8,100637.44,0
2022-05-20,18.8,72.8,100652.66,0
2022-05-21,19.05,72.8,100623.15,0
2022-05-21,18.8,72.8,100639.445,0
2022-05-22,19.05,72.8,100434.27,0
2022-05-22,18.8,72.8,100453.63,0
2022-05-23,19.05,72.8,100345.46,0
2022-05-23,18.8,72.8,100363.945,0
2022-05-24,19.05,72.8,100589.94,0
2022-05-24,18.8,72.8,100604.98,0
2022-05-25,19.05,72.8,100829.25,0
2022-05-25,18.8,72.8,100840.1,0
2022-05-26,19.05,72.8,100819.54,0
2022-05-26,18.8,72.8,100833.12,0
2022-05-27,19.05,72.8,100787.51,0
2022-05-27,18.8,72.8,100803.164,0
2022-05-28,19.05,72.8,100693.12,0
2022-05-28,18.8,72.8,100708.73,0
2022-05-29,19.05,72.8,100702.445,0
2022-05-29,18.8,72.8,100716.49,0
2022-05-30,19.05,72.8,100659.43,0
2022-05-30,18.8,72.8,100672.18,0
2022-05-31,19.05,72.8,100601.96,0
2022-05-31,18.8,72.8,100613.74,0
2022-06-01,19.05,72.8,100610.44,0
2022-06-01,18.8,72.8,100622.336,0
2022-06-02,19.05,72.8,100643.695,0
2022-06-02,18.8,72.8,100654.805,0
2022-06-03,19.05,72.8,100611.055,0
2022-06-03,18.8,72.8,100624.31,0
2022-06-04,19.05,72.8,100569.71,0
2022-06-04,18.8,72.8,100580.84,0
2022-06-05,19.05,72.8,100555.03,0
2022-06-05,18.8,72.8,100566.07,0
2022-06-06,19.05,72.8,100588.22,0
2022-06-06,18.8,72.8,100597.44,0
2022-06-07,19.05,72.8,100613.19,0
2022-06-07,18.8,72.8,100624.27,0
2022-06-08,19.05,72.8,100586.71,0
2022-06-08,18.8,72.8,100602.27,0
2022-06-09,19.05,72.8,100483.06,0
2022-06-09,18.8,72.8,100498.43,0
2022-06-10,19.05,72.8,100448.4,0
2022-06-10,18.8,72.8,100458.77,0
2022-06-11,19.05,72.8,100520.445,0
2022-06-11,18.8,72.8,100534.15,0
2022-06-12,19.05,72.8,100523.97,0
2022-06-12,18.8,72.8,100534.79,0
2022-06-13,19.05,72.8,100649.15,0
2022-06-13,18.8,72.8,100660.63,0
2022-06-14,19.05,72.8,100655.945,0
2022-06-14,18.8,72.8,100667.98,0
2022-06-15,19.05,72.8,100598.13,0
2022-06-15,18.8,72.8,100610.32,0
2022-06-16,19.05,72.8,100562.34,0
2022-06-16,18.8,72.8,100575.98,0
2022-06-17,19.05,72.8,100503.68,0
2022-06-17,18.8,72.8,100518.32,0
2022-06-18,19.05,72.8,100520.04,0
2022-06-18,18.8,72.8,100533.96,0
2022-06-19,19.05,72.8,100574.164,0
2022-06-19,18.8,72.8,100590.1,0
2022-06-20,19.05,72.8,100484.65,0
2022-06-20,18.8,72.8,100503.12,0
2022-06-21,19.05,72.8,100271.805,0
2022-06-21,18.8,72.8,100293.125,0
2022-06-22,19.05,72.8,100358.66,0
2022-06-22,18.8,72.8,100369.06,0
2022-06-23,19.05,72.8,100497.38,0
2022-06-23,18.8,72.8,100502.25,0
2022-06-24,19.05,72.8,100356.48,0
2022-06-24,18.8,72.8,100353.31,0
2022-06-25,19.05,72.8,100031.0,0
2022-06-25,18.8,72.8,100033.375,0
2022-06-26,19.05,72.8,100025.375,0
2022-06-26,18.8,72.8,100036.44,0
2022-06-27,19.05,72.8,100303.32,0
2022-06-27,18.8,72.8,100318.76,0
2022-06-28,19.05,72.8,100457.164,0
2022-06-28,18.8,72.8,100473.37,0
2022-06-29,19.05,72.8,100326.375,0
2022-06-29,18.8,72.8,100346.37,0
2022-06-30,19.05,72.8,100305.13,0
2022-06-30,18.8,72.8,100326.07,0
2022-07-01,19.05,72.8,100377.305,0
2022-07-01,18.8,72.8,100398.23,0
2022-07-02,19.05,72.8,100262.21,0
2022-07-02,18.8,72.8,100287.15,0
2022-07-03,19.05,72.8,100217.71,0
2022-07-03,18.8,72.8,100239.195,0
2022-07-04,19.05,72.8,100207.37,0
2022-07-04,18.8,72.8,100231.375,0
2022-07-05,19.05,72.8,100066.84,0
2022-07-05,18.8,72.8,100092.305,0
2022-07-06,19.05,72.8,100197.65,0
2022-07-06,18.8,72.8,100225.21,0
2022-07-07,19.05,72.8,100490.086,0
2022-07-07,18.8,72.8,100519.055,0
2022-07-08,19.05,72.8,100482.41,0
2022-07-08,18.8,72.8,100510.99,0
2022-07-09,19.05,72.8,100305.72,0
2022-07-09,18.8,72.8,100331.6,0
2022-07-10,19.05,72.8,100408.445,0
2022-07-10,18.8,72.8,100429.055,0
2022-07-11,19.05,72.8,100556.445,0
2022-07-11,18.8,72.8,100587.02,0
2022-07-12,19.05,72.8,100556.57,0
2022-07-12,18.8,72.8,100583.375,0
2022-07-13,19.05,72.8,100235.73,0
2022-07-13,18.8,72.8,100264.51,0
2022-07-14,19.05,72.8,99924.625,0
2022-07-14,18.8,72.8,99965.03,0
2022-07-15,19.05,72.8,99941.93,0
2022-07-15,18.8,72.8,99979.336,0
2022-07-16,19.05,72.8,100065.414,0
2022-07-16,18.8,72.8,100100.06,0
2022-07-17,19.05,72.8,100391.12,0
2022-07-17,18.8,72.8,100415.19,0
2022-07-18,19.05,72.8,100504.49,0
2022-07-18,18.8,72.8,100524.47,0
2022-07-19,19.05,72.8,100566.06,0
2022-07-19,18.8,72.8,100586.77,0
2022-07-20,19.05,72.8,100649.07,0
2022-07-20,18.8,72.8,100667.66,0
2022-07-21,19.05,72.8,100681.66,0
2022-07-21,18.8,72.8,100699.79,0
2022-07-22,19.05,72.8,100747.945,0
2022-07-22,18.8,72.8,100764.35,0
2022-07-23,19.05,72.8,100570.44,0
2022-07-23,18.8,72.8,100592.664,0
2022-07-24,19.05,72.8,100495.35,0
2022-07-24,18.8,72.8,100520.26,0
2022-07-25,19.05,72.8,100633.6,0
2022-07-25,18.8,72.8,100653.055,0
2022-07-26,19.05,72.8,100822.69,0
2022-07-26,18.8,72.8,100838.59,0
2022-07-27,19.05,72.8,100810.62,0
2022-07-27,18.8,72.8,100821.875,0
2022-07-28,19.05,72.8,100889.29,0
2022-07-28,18.8,72.8,100896.375,0
2022-07-29,19.05,72.8,100849.94,0
2022-07-29,18.8,72.8,100856.29,0
2022-07-30,19.05,72.8,100764.04,0
2022-07-30,18.8,72.8,100773.81,0
2022-07-31,19.05,72.8,100595.04,0
2022-07-31,18.8,72.8,100606.445,0
2022-08-01,19.05,72.8,100611.445,0
2022-08-01,18.8,72.8,100623.53,0
2022-08-02,19.05,72.8,100510.84,0
2022-08-02,18.8,72.8,100522.93,0
2022-08-03,19.05,72.8,100424.84,0
2022-08-03,18.8,72.8,100438.13,0
2022-08-04,19.05,72.8,100323.875,0
2022-08-04,18.8,72.8,100334.51,0
2022-08-05,19.05,72.8,100164.78,0
2022-08-05,18.8,72.8,100177.32,0
2022-08-06,19.05,72.8,100053.69,0
2022-08-06,18.8,72.8,100071.04,0
2022-08-07,19.05,72.8,100002.91,0
2022-08-07,18.8,72.8,100021.29,0
2022-08-08,19.05,72.8,99880.26,0
2022-08-08,18.8,72.8,99916.75,0
2022-08-09,19.05,72.8,99741.98,0
2022-08-09,18.8,72.8,99801.875,0
2022-08-10,19.05,72.8,99737.5,0
2022-08-10,18.8,72.8,99778.94,0
2022-08-11,19.05,72.8,99865.04,0
2022-08-11,18.8,72.8,99910.49,0
2022-08-12,19.05,72.8,100200.78,0
2022-08-12,18.8,72.8,100242.02,0
2022-08-13,19.05,72.8,100421.38,0
2022-08-13,18.8,72.8,100448.53,0
2022-08-14,19.05,72.8,100587.41,0
2022-08-14,18.8,72.8,100613.055,0
2022-08-15,19.05,72.8,100602.07,0
2022-08-15,18.8,72.8,100628.41,0
2022-08-16,19.05,72.8,100528.78,0
2022-08-16,18.8,72.8,100563.78,0
2022-08-17,19.05,72.8,100648.01,0
2022-08-17,18.8,72.8,100676.68,0
2022-08-18,19.05,72.8,100708.76,0
2022-08-18,18.8,72.8,100734.04,0
2022-08-19,19.05,72.8,100739.125,0
2022-08-19,18.8,72.8,100759.31,0
2022-08-20,19.05,72.8,100734.68,0
2022-08-20,18.8,72.8,100754.41,0
2022-08-21,19.05,72.8,100641.56,0
2022-08-21,18.8,72.8,100663.27,0
2022-08-22,19.05,72.8,100507.586,0
2022-08-22,18.8,72.8,100536.47,0
2022-08-23,19.05,72.8,100487.125,0
2022-08-23,18.8,72.8,100518.37,0
2022-08-24,19.05,72.8,100749.375,0
2022-08-24,18.8,72.8,100773.65,0
2022-08-25,19.05,72.8,100757.336,0
2022-08-25,18.8,72.8,100772.68,0
2022-08-26,19.05,72.8,100758.07,0
2022-08-26,18.8,72.8,100767.22,0
2022-08-27,19.05,72.8,100784.84,0
2022-08-27,18.8,72.8,100795.27,0
2022-08-28,19.05,72.8,100756.19,0
2022-08-28,18.8,72.8,100765.0,0
2022-08-29,19.05,72.8,100871.98,0
2022-08-29,18.8,72.8,100877.81,0
2022-08-30,19.05,72.8,100872.31,0
2022-08-30,18.8,72.8,100876.51,0
2022-08-31,19.05,72.8,100704.65,0
2022-08-31,18.8,72.8,100711.35,0
2022-09-01,19.05,72.8,100695.69,0
2022-09-01,18.8,72.8,100702.29,0
2022-09-02,19.05,72.8,100731.06,0
2022-09-02,18.8,72.8,100738.23,0
2022-09-03,19.05,72.8,100746.125,0
2022-09-03,18.8,72.8,100755.195,0
2022-09-04,19.05,72.8,100775.76,0
2022-09-04,18.8,72.8,100785.875,0
2022-09-05,19.05,72.8,100785.086,0
2022-09-05,18.8,72.8,100794.44,0
2022-09-06,19.05,72.8,100725.54,0
2022-09-06,18.8,72.8,100732.125,0
2022-09-07,19.05,72.8,100680.76,0
2022-09-07,18.8,72.8,100686.336,0
2022-09-08,19.05,72.8,100580.78,0
2022-09-08,18.8,72.8,100584.68,0
2022-09-09,19.05,72.8,100438.836,0
2022-09-09,18.8,72.8,100444.0,0
2022-09-10,19.05,72.8,100442.18,0
2022-09-10,18.8,72.8,100444.37,0
2022-09-11,19.05,72.8,100238.59,0
2022-09-11,18.8,72.8,100240.81,0
2022-09-12,19.05,72.8,100102.88,0
2022-09-12,18.8,72.8,100115.84,0
2022-09-13,19.05,72.8,100294.23,0
2022-09-13,18.8,72.8,100317.25,0
2022-09-14,19.05,72.8,100586.305,0
2022-09-14,18.8,72.8,100617.43,0
2022-09-15,19.05,72.8,100739.47,0
2022-09-15,18.8,72.8,100774.9,0
2022-09-16,19.05,72.8,100656.945,0
2022-09-16,18.8,72.8,100683.164,0
2022-09-17,19.05,72.8,100683.79,0
2022-09-17,18.8,72.8,100701.69,0
2022-09-18,19.05,72.8,100858.35,0
2022-09-18,18.8,72.8,100875.27,0
